   Count  Suspect
       2        0   {;<\n>K}
       2        0   {;<\n>W}
       2        0   {= 1}
       2        0   {A.-}
       2        0   {AG,}
       2        0   {Abs}
       2        0   {Ak.}
      10        0   {Akt}
       2        0   {Alb}
       2        0   {Anl}
       2        0   {Arb}
       2        0   {Arn}
       2        0   {Atl}
       2        0   {Auf}
       6        0   {Aus}
       2        0   {Ban}
       2        0   {Bar}
       2        0   {Bes}
       2        0   {Bie}
       2        0   {Bil}
       2        0   {Böh}
       2        0   {Bör}
       2        0   {Com}
      14        0   {DM }
       2        0   {DM)}
       2        0   {DM-}
       2        0   {Das}
       2        0   {Die}
       4        0   {Div}
       4        0   {Dr.}
       2        0   {Dur}
       6        0   {Düs}
       2        0   {Eig}
       2        0   {Eis}
       2        0   {Es }
       2        0   {Fam}
       2        0   {Fer}
       4        0   {Fra}
       2        0   {Fre}
       2        0   {G, }
       2        0   {Ge-}
       2        0   {Geh}
       2        0   {Ger}
       8        0   {Ges}
       2        0   {Get}
       4        0   {Gew}
       2        0   {Got}
       2        0   {Gre}
       2        0   {Gro}
       2        0   {Gru}
       2        0   {Grü}
       6        0   {H.-}
       2        0   {Hal}
       4        0   {Hol}
       2        0   {I, }
       2        0   {I/4}
       2        0   {II/}
       2        0   {Jah}
       1        0   {Je }
       1        0   {Jen}
       2        0   {K.)}
       2        0   {Kal}
       2        0   {Kap}
       2        0   {Kar}
       2        0   {Klu}
       2        0   {Kur}
       2        0   {Lev}
       2        0   {Lie}
       2        0   {Lin}
       2        0   {Löh}
       6        0   {M 1}
       8        0   {M 2}
       2        0   {M)<\n>}
       2        0   {M-N}
       6        0   {Mar}
       2        0   {Meh}
      24        0   {Mün}
       2        0   {Nen}
       6        0   {Nr.}
       2        0   {Okt}
       2        0   {Ord}
       2        0   {Rei}
       2        0   {Rho}
       2        0   {Sch}
       2        0   {Sit}
       4        0   {St.}
       4        0   {Sta}
       2        0   {Ste}
       4        0   {Sti}
       2        0   {Str}
       2        0   {Stü}
       2        0   {Säm}
       2        0   {Tät}
       2        0   {Uml}
       2        0   {Ums}
       2        0   {Unt}
       2        0   {V. }
       2        0   {V.:}
       2        0   {V.v}
       2        0   {Ver}
      12        0   {Vor}
       2        0   {Wer}
      14        0   {Wes}
       2        0   {Wil}
       2        0   {Wol}
       2        0   {Zah}
       2        0   {Zur}
       2        0   {a H}
       2        0   {a) }
       2        0   {abs}
       4        0   {ach}
       4        0   {aft}
       4        0   {ag }
       4        0   {age}
       2        0   {ahl}
       8        0   {ahr}
       6        0   {akt}
       4        0   {al }
       2        0   {al:}
       2        0   {ale}
       2        0   {alh}
       4        0   {alk}
       2        0   {all}
       2        0   {ami}
       4        0   {amm}
       2        0   {amt}
       2        0   {and}
       4        0   {ank}
       6        0   {ann}
       2        0   {ant}
       2        0   {anz}
       8        0   {api}
       2        0   {ar.}
       2        0   {ari}
       2        0   {arl}
       2        0   {arm}
       2        0   {art}
       2        0   {aru}
       2        0   {arx}
       4        0   {as }
       2        0   {ass}
       2        0   {at:}
       4        0   {au }
       2        0   {auc}
      10        0   {auf}
       2        0   {avo}
       2        0   {aße}
       2        0   {ban}
       2        0   {bar}
       2        0   {bei}
       6        0   {ber}
       2        0   {bie}
       2        0   {bis}
       2        0   {bra}
       2        0   {bsc}
       2        0   {bse}
       2        0   {bun}
      10        0   {ch }
       2        0   {ch.}
       4        0   {cha}
       4        0   {che}
       2        0   {chl}
       4        0   {chn}
       2        0   {chr}
       2        0   {chs}
       6        0   {cht}
       6        0   {chä}
       2        0   {cke}
       2        0   {ckt}
       2        0   {d G}
       4        0   {d H}
       2        0   {d M}
       2        0   {d V}
       2        0   {d W}
       2        0   {d l}
       2        0   {d o}
       1        0   {d. }
       3        0   {d.A}
       2        0   {d.H}
       2        0   {d:<\n>}
       2        0   {dar}
       2        0   {dav}
       2        0   {de,}
      10        0   {den}
       4        0   {der}
       4        0   {die}
       4        0   {dka}
       2        0   {dnu}
       6        0   {dor}
       2        0   {dun}
       4        0   {dur}
       2        0   {e<\n>ü}
       2        0   {e 0}
       2        0   {e 6}
       2        0   {e 8}
       4        0   {e A}
       2        0   {e B}
       5        0   {e D}
       2        0   {e G}
       2        0   {e I}
       2        0   {e S}
       2        0   {e a}
       4        0   {e e}
       1        0   {e n}
       2        0   {e s}
       2        0   {e u}
      10        0   {e, }
       2        0   {e-<\n>}
       2        0   {e-L}
       4        0   {e.<\n>}
       4        0   {e:<\n>}
       1        0   {eDM}
       2        0   {ebi}
       4        0   {ech}
       2        0   {eck}
       2        0   {ed }
       4        0   {efe}
       2        0   {ehm}
       2        0   {ehr}
       2        0   {ehä}
       2        0   {eib}
       4        0   {eie}
       2        0   {eig}
       6        0   {ein}
       6        0   {eit}
       2        0   {eke}
       2        0   {el)}
       2        0   {el-}
       4        0   {eld}
      10        0   {ell}
       2        0   {elu}
       2        0   {emd}
       4        0   {en<\n>}
      22        0   {en }
       6        0   {en:}
       4        0   {end}
       2        0   {ene}
       2        0   {eng}
       2        0   {eni}
       4        0   {enk}
       4        0   {enn}
       1        0   {eno}
      10        0   {er<\n>}
      14        0   {er }
       2        0   {er-}
       2        0   {er.}
       2        0   {er:}
       6        0   {er;}
       2        0   {era}
       4        0   {erb}
       4        0   {erd}
       4        0   {ere}
       2        0   {erf}
       2        0   {erg}
       2        0   {erj}
